,Nordwest,Korall,Tasman,Süden,Südozean,Komplette Domäne,time
163,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 09:00:00
164,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 12:00:00
165,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 15:00:00
166,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 18:00:00
167,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 21:00:00
168,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 00:00:00
169,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 03:00:00
170,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 06:00:00
171,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 09:00:00
172,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 12:00:00
173,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 15:00:00
174,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 18:00:00
175,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-22 21:00:00
176,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 00:00:00
177,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 03:00:00
178,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 06:00:00
179,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 09:00:00
180,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 12:00:00
181,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 15:00:00
182,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 18:00:00
183,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-23 21:00:00
184,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 00:00:00
185,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 03:00:00
186,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 06:00:00
187,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 09:00:00
188,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 12:00:00
189,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 15:00:00
190,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 18:00:00
191,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-24 21:00:00
192,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 00:00:00
193,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 03:00:00
194,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 06:00:00
195,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 09:00:00
196,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 12:00:00
197,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 15:00:00
198,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 18:00:00
199,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-25 21:00:00
200,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 00:00:00
201,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 03:00:00
202,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 06:00:00
203,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 09:00:00
204,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 12:00:00
205,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 15:00:00
206,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 18:00:00
207,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-26 21:00:00
208,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 00:00:00
209,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 03:00:00
210,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 06:00:00
211,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 09:00:00
212,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 12:00:00
213,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 15:00:00
214,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 18:00:00
215,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-27 21:00:00
216,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 00:00:00
217,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 03:00:00
218,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 06:00:00
219,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 09:00:00
220,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 12:00:00
221,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 15:00:00
222,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 18:00:00
223,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-28 21:00:00
224,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 00:00:00
225,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 03:00:00
226,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 06:00:00
227,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 09:00:00
228,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 12:00:00
229,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 15:00:00
230,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 18:00:00
231,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-29 21:00:00
232,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 00:00:00
233,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 03:00:00
234,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 06:00:00
235,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 09:00:00
236,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 12:00:00
237,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 15:00:00
238,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 18:00:00
239,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-30 21:00:00
240,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 00:00:00
241,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 03:00:00
242,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 06:00:00
243,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 09:00:00
244,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 12:00:00
245,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 15:00:00
246,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 18:00:00
247,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-01 21:00:00
248,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 00:00:00
249,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 03:00:00
250,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 06:00:00
251,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 09:00:00
252,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 12:00:00
253,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 15:00:00
254,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 18:00:00
255,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-02 21:00:00
256,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 00:00:00
257,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 03:00:00
258,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 06:00:00
259,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 09:00:00
260,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 12:00:00
261,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 15:00:00
262,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 18:00:00
263,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-03 21:00:00
264,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 00:00:00
265,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 03:00:00
266,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 06:00:00
267,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 09:00:00
268,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 12:00:00
269,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 15:00:00
270,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 18:00:00
271,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-04 21:00:00
272,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 00:00:00
273,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 03:00:00
274,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 06:00:00
275,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 09:00:00
276,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 12:00:00
277,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 15:00:00
278,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 18:00:00
279,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-05 21:00:00
280,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 00:00:00
281,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 03:00:00
282,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 06:00:00
283,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 09:00:00
284,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 12:00:00
285,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 15:00:00
286,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 18:00:00
287,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-06 21:00:00
288,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 00:00:00
289,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 03:00:00
290,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 06:00:00
291,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 09:00:00
292,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 12:00:00
293,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 15:00:00
294,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 18:00:00
295,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-07 21:00:00
296,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 00:00:00
297,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 03:00:00
298,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 06:00:00
299,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 09:00:00
300,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 12:00:00
301,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 15:00:00
302,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 18:00:00
303,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-08 21:00:00
304,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 00:00:00
305,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 03:00:00
306,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 06:00:00
307,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 09:00:00
308,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 12:00:00
309,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 15:00:00
310,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 18:00:00
311,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-09 21:00:00
312,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 00:00:00
313,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 03:00:00
314,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 06:00:00
315,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 09:00:00
316,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 12:00:00
317,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 15:00:00
318,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 18:00:00
319,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-10 21:00:00
320,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 00:00:00
321,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 03:00:00
322,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 06:00:00
323,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 09:00:00
324,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 12:00:00
325,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 15:00:00
326,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 18:00:00
327,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-11 21:00:00
328,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 00:00:00
329,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 03:00:00
330,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 06:00:00
331,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 09:00:00
332,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 12:00:00
333,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 15:00:00
334,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 18:00:00
335,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-12 21:00:00
336,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 00:00:00
337,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 03:00:00
338,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 06:00:00
339,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 09:00:00
340,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 12:00:00
341,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 15:00:00
342,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 18:00:00
343,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-13 21:00:00
344,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 00:00:00
345,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 03:00:00
346,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 06:00:00
347,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 09:00:00
348,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 12:00:00
349,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 15:00:00
350,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 18:00:00
351,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-14 21:00:00
352,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-15 00:00:00
353,0.0,0.0,0.0,0.0,0.0,0.0,2009-07-15 03:00:00
